our_code,supplier_code,description,pack_size_ea
H100500,,Cup RPET Cold 530ml LDIT,"1,000"
H100501,,Box FSC Paper Home Compostable Cake 5x5x3 White,200
H100502,,Box FSC Paper Home Compostable Cake 7x7x4 White,200
H100503,,Box FSC Paper Home Compostable Cake 9x9x4 White,200
H100504,,Box FSC Paper Home Compostable Cake 11x11x4 White,100
H100507,,Cup PLA FSC SW (80dia) 225ml 6oz Authenticity,"1,000"
H100508,,Cup PLA FSC SW (80dia) 280ml 8oz Authenticity,"1,000"
H100509,,Cup SW PLA FSC (90dia) 400ml 12oz Authenticity,"1,000"
H100510,,Cup Paper FSC Disp DW 285ml Patagonia,500
H100511,,Cup Paper FSC Disp DW 400ml Patagonia,500
KCB-L,,Box Kraft Large 558 x 252 x 80mm,50
KCBLID-L,,Lid Kraft Large 564 x 255 x 30mm,50
KCBLID-M,,Lid Kraft Medium 364 x 255 x 30mm,100
KCBLID-S,,Lid Kraft Small 229 x 228 x 30mm,100
KCBLID-XL,,Lid Kraft Extra Large 455 x 313 x 30mm,50
KCBLID-XS,,Lid Kraft Extra Small 258 x 155 x 30mm,100
KCB-M,,Box Kraft Medium 359 x 252 x 80mm,100
KCB-S,,Box Kraft Small 225 x 225 x 60mm,100
KCB-XL,,Box Kraft Xtra-Large 450 x 310 x 80mm,50
KCB-XS,,Box Kraft Extra Small 255 x 152 x 80mm,100
KPSW,,Bamboo Future Friendly Sandwich Wedge,500
KSCPLWL,,Bamboo Future Friendly Large Salad Container,200
KSCPLWM,,Medium Bamboo Salad Container,200
KSCPLWS,,Bamboo Future Friendly Small Salad Container,200
LCP011,,Lid PP  For CP Chefs Reusable Container Range,600
LDPET-290,,Lid Domed PET fits 290ml Cup R,"1,000"
LDPET-420-510,,"Lid Domed PET fits 420ml/510ml/630ml cups ""OBS""","1,000"
LDPET-420-510-ODL,,Lid PET Domed 420ml 510ml oversized diameter R,"1,500"
LF119PP-011,,Lid Flat PP 119dia Clear R,"1,008"
LF24PET,,PET Straw Slot Lid for DPE/DPLA24,"1,000"
LF75PET-011,,Lid PET for Hospital Cup,"3,000"
LF89PET-911,,Lid Flat PET dia89 Clear Bulk fits C89 Container,"1,000"
